<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Khoozestan.CE.,20190218,4088.00,4188.00,4088.00,4187.00,68353837189,16324229,1239,D,3989.00,4188.00
Khoozestan.CE.,20190217,3950.00,4113.00,3950.00,3989.00,1030052903,258250,74,D,4021.00,3951.00
Khoozestan.CE.,20190216,4165.00,4165.00,3970.00,4021.00,2389371164,594173,161,D,4099.00,4030.00
Khoozestan.CE.,20190213,4324.00,4324.00,4000.00,4099.00,3129901249,763540,151,D,4187.00,4051.00
Khoozestan.CE.,20190212,4031.00,4234.00,4030.00,4187.00,14253956834,3404087,428,D,4033.00,4233.00
Khoozestan.CE.,20190210,4105.00,4105.00,4011.00,4033.00,1857575488,460600,121,D,4078.00,4070.00
Khoozestan.CE.,20190206,4012.00,4150.00,4006.00,4078.00,2545694106,624220,130,D,4046.00,4142.00
Khoozestan.CE.,20190205,4110.00,4179.00,4030.00,4046.00,2329518516,575754,135,D,4080.00,4044.00
Khoozestan.CE.,20190204,4100.00,4197.00,4016.00,4080.00,3780256289,926631,220,D,4198.00,4037.00
Khoozestan.CE.,20190203,4300.00,4300.00,4197.00,4198.00,2192318139,522269,88,D,4417.00,4197.00
Khoozestan.CE.,20190202,4610.00,4610.00,4270.00,4417.00,5219952813,1181855,370,D,4444.00,4293.00
Khoozestan.CE.,20190130,4320.00,4456.00,4320.00,4444.00,24675514218,5552238,698,D,4244.00,4456.00
Khoozestan.CE.,20190129,4214.00,4371.00,4150.00,4244.00,4478511758,1055172,291,D,4182.00,4250.00
Khoozestan.CE.,20190128,4024.00,4215.00,4024.00,4182.00,6814295293,1629627,274,D,4015.00,4211.00
Khoozestan.CE.,20190127,4105.00,4130.00,3971.00,4015.00,4036861433,1005525,164,D,4131.00,4130.00
Khoozestan.CE.,20190126,4082.00,4223.00,4082.00,4131.00,1853237484,448625,121,D,4203.00,4108.00
Khoozestan.CE.,20190123,4150.00,4250.00,4150.00,4203.00,5919391179,1408320,262,D,4119.00,4200.00
Khoozestan.CE.,20190122,3955.00,4169.00,3955.00,4119.00,6724432836,1632492,241,D,3994.00,4150.00
Khoozestan.CE.,20190121,4152.00,4152.00,3900.00,3994.00,1569619440,392948,102,D,4080.00,4100.00
Khoozestan.CE.,20190120,4135.00,4140.00,4040.00,4080.00,1504387451,368763,108,D,4073.00,4051.00
Khoozestan.CE.,20190119,3937.00,4101.00,3937.00,4073.00,12464581747,3060212,517,D,3906.00,4100.00
