<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Maskan.Invest.,20190218,1150.00,1184.00,1140.00,1170.00,14771791422,12628036,957,D,1128.00,1184.00
Maskan.Invest.,20190217,1185.00,1185.00,1117.00,1128.00,15204648626,13479818,1091,D,1175.00,1120.00
Maskan.Invest.,20190216,1240.00,1245.00,1165.00,1175.00,9441395654,8033234,760,D,1226.00,1165.00
Maskan.Invest.,20190213,1200.00,1229.00,1180.00,1226.00,24595422292,20057742,1462,D,1171.00,1229.00
Maskan.Invest.,20190212,1149.00,1210.00,1122.00,1171.00,7200510688,6148496,658,D,1172.00,1183.00
Maskan.Invest.,20190210,1165.00,1198.00,1144.00,1172.00,8800833193,7512136,739,D,1142.00,1160.00
Maskan.Invest.,20190206,1122.00,1144.00,1115.00,1142.00,11988036455,10497424,795,D,1090.00,1144.00
Maskan.Invest.,20190205,1081.00,1120.00,1076.00,1090.00,6904498452,6333764,481,D,1106.00,1084.00
Maskan.Invest.,20190204,1120.00,1148.00,1082.00,1106.00,5641977846,5099937,501,D,1127.00,1087.00
Maskan.Invest.,20190203,1159.00,1159.00,1127.00,1127.00,5389035413,4780132,412,D,1186.00,1129.00
Maskan.Invest.,20190202,1219.00,1219.00,1122.00,1186.00,16199501733,13660482,1138,D,1161.00,1157.00
Maskan.Invest.,20190130,1159.00,1167.00,1130.00,1161.00,6101282782,5253865,489,D,1112.00,1167.00
Maskan.Invest.,20190129,1065.00,1114.00,1064.00,1112.00,15649683853,14076465,1132,D,1061.00,1114.00
Maskan.Invest.,20190128,1094.00,1094.00,1043.00,1061.00,4024658366,3793097,449,D,1090.00,1069.00
Maskan.Invest.,20190127,1088.00,1108.00,1063.00,1090.00,11120266643,10202086,1021,D,1056.00,1090.00
Maskan.Invest.,20190126,1021.00,1063.00,1010.00,1056.00,10457537996,9903765,840,D,1013.00,1063.00
Maskan.Invest.,20190123,1011.00,1061.00,997.00,1013.00,3120438151,3081863,282,D,968.00,1009.00
Maskan.Invest.,20190122,960.00,983.00,930.00,968.00,3591550069,3709832,374,D,937.00,983.00
Maskan.Invest.,20190121,1007.00,1007.00,933.00,937.00,5565231547,5940568,469,D,982.00,938.00
Maskan.Invest.,20190120,989.00,989.00,960.00,982.00,1003130360,1021704,83,D,1013.00,980.00
Maskan.Invest.,20190115,998.00,1035.00,990.00,1013.00,7564413413,7468650,809,D,997.00,1001.00
Maskan.Invest.,20190114,1003.00,1023.00,971.00,997.00,5715249677,5732343,612,D,992.00,982.00
Maskan.Invest.,20190113,957.00,1000.00,956.00,992.00,8291452800,8354330,782,D,953.00,1000.00
Maskan.Invest.,20190112,945.00,960.00,940.00,953.00,2617298658,2746697,312,D,933.00,950.00
Maskan.Invest.,20190109,928.00,948.00,927.00,933.00,3208440559,3437396,334,D,940.00,941.00
Maskan.Invest.,20190108,941.00,966.00,927.00,940.00,3772796524,4013563,404,D,956.00,947.00
Maskan.Invest.,20190107,970.00,985.00,932.00,956.00,2015210810,2107143,194,D,929.00,955.00
Maskan.Invest.,20190105,942.00,945.00,920.00,929.00,1468223933,1579837,188,D,940.00,928.00
Maskan.Invest.,20190102,943.00,960.00,932.00,940.00,1866681839,1986447,220,D,952.00,942.00
Maskan.Invest.,20190101,968.00,971.00,936.00,952.00,4311051969,4528336,425,D,948.00,941.00
Maskan.Invest.,20181231,926.00,965.00,925.00,948.00,4440188710,4682370,528,D,930.00,959.00
Maskan.Invest.,20181230,930.00,948.00,926.00,930.00,1820180365,1956851,231,D,939.00,930.00
Maskan.Invest.,20181229,950.00,952.00,929.00,939.00,2193569212,2335101,256,D,934.00,940.00
Maskan.Invest.,20181226,924.00,948.00,920.00,934.00,1933927373,2069925,218,D,927.00,937.00
Maskan.Invest.,20181225,931.00,938.00,915.00,927.00,3021970716,3259325,265,D,947.00,933.00
Maskan.Invest.,20181224,940.00,965.00,930.00,947.00,3471335601,3664638,381,D,948.00,935.00
Maskan.Invest.,20181223,931.00,968.00,931.00,948.00,1269421467,1339739,154,D,938.00,939.00
Maskan.Invest.,20181222,940.00,950.00,930.00,938.00,2577068272,2747522,191,D,934.00,935.00
Maskan.Invest.,20181219,936.00,955.00,925.00,934.00,2098892802,2246307,225,D,950.00,938.00
Maskan.Invest.,20181218,938.00,968.00,937.00,950.00,1999148538,2103865,246,D,946.00,954.00
Maskan.Invest.,20181217,950.00,985.00,935.00,946.00,1383589717,1462498,224,D,952.00,938.00
Maskan.Invest.,20181216,991.00,991.00,939.00,952.00,4061818156,4266282,442,D,978.00,958.00
Maskan.Invest.,20181215,993.00,1006.00,970.00,978.00,2994161681,3059980,314,D,1012.00,977.00
Maskan.Invest.,20181212,1039.00,1039.00,993.00,1012.00,5217029365,5154797,561,D,1020.00,996.00
Maskan.Invest.,20181210,996.00,1026.00,974.00,1020.00,15327981647,15034408,1196,D,978.00,1020.00
Maskan.Invest.,20181209,989.00,1000.00,964.00,978.00,4651425901,4753669,431,D,989.00,995.00
Maskan.Invest.,20181208,984.00,1000.00,961.00,989.00,4959474083,5016425,534,D,979.00,982.00
Maskan.Invest.,20181205,962.00,989.00,962.00,979.00,2421273122,2474225,225,D,969.00,979.00
Maskan.Invest.,20181204,999.00,999.00,961.00,969.00,2023383128,2088410,267,D,997.00,974.00
Maskan.Invest.,20181203,1018.00,1018.00,971.00,997.00,4418540294,4431704,418,D,996.00,997.00
Maskan.Invest.,20181202,989.00,1018.00,960.00,996.00,3519521647,3532382,343,D,976.00,998.00
Maskan.Invest.,20181201,1013.00,1022.00,954.00,976.00,3398823981,3483870,385,D,991.00,978.00
Maskan.Invest.,20181128,941.00,1010.00,941.00,991.00,10099771954,10189577,814,D,963.00,1002.00
Maskan.Invest.,20181127,980.00,988.00,948.00,963.00,3160140441,3280642,308,D,952.00,956.00
Maskan.Invest.,20181126,962.00,990.00,947.00,952.00,2135844793,2243086,261,D,996.00,976.00
Maskan.Invest.,20181124,1024.00,1024.00,970.00,996.00,4930020462,4949433,420,D,1011.00,978.00
Maskan.Invest.,20181121,1000.00,1022.00,993.00,1011.00,5209342998,5151619,466,D,981.00,1000.00
Maskan.Invest.,20181120,966.00,991.00,955.00,981.00,6115737632,6231176,456,D,944.00,991.00
Maskan.Invest.,20181119,930.00,970.00,930.00,944.00,1885309690,1996358,245,D,939.00,950.00
Maskan.Invest.,20181118,985.00,1008.00,927.00,939.00,6031353250,6420788,517,D,975.00,930.00
Maskan.Invest.,20181117,1008.00,1008.00,956.00,975.00,3913443866,4012161,374,D,990.00,961.00
Maskan.Invest.,20181114,970.00,1010.00,961.00,990.00,3074008162,3103640,381,D,1000.00,1006.00
Maskan.Invest.,20181113,1005.00,1047.00,974.00,1000.00,5489567993,5488226,508,D,1004.00,976.00
