price,volume
7402.73,138519
7230.25,197080
7174.14,252968
7267.87,154203
7214.74,136788
7220.12,206979
7107.92,168925
7192.67,165009
7221.36,171129
7290.14,244577
7326.39,200085
7344.54,111466
7349.45,140210
7252.68,133571
7190.06,164840
7158.77,142831
6953.98,189251
6796.75,2442
6640.59,265050
6414.76,288064
6236.16,360019
5923.27,314803
5917.08,435787
5613.42,433025
5797.66,358979
5997.74,255814
6022.24,143251
5994.9,166055
5948.94,1695
5602.8,325973
5480,351402
5473.78,182963
5532.38,186606
5681.08,162588
5584.14,225574
5537.48,172498
5670.07,99261
5643.92,132990
5784.85,245787
5730.63,188569
5538.33,182039
5246.18,202455
5193.97,238105
5405.53,180820
5408.46,161724
5189.93,229313
5072.33,265139
5166.36,284105
5340.19,231784
5508.24,235478
5573.51,377709
5415.91,161284
5571.68,158689
5433.8,149189
5164.21,203153
5196.56,198768
5345.56,211131
5628.44,245882
5578.42,181756
5639.58,182948
5502.02,179771
5376.7,132108
5216.71,204744
5473.03,178810
5645.25,210847
5675.7,166599
5847.29,147424
5865.01,139406
5994.47,183862
5914.84,184773
5967.2,185189
5859.43,177500
5877.41,153042
5913.53,141354
5766.48,172123
5970.96,176835
6055.27,143511
6046.75,171988
6016.07,151166
6337.84,333790
6346.19,207679
6141.34,173799
5834.51,291714
5965.63,177749
6133.18,237532
5966.16,198963
5928.68,160733
5961.44,144445
5829.54,251013
5867.81,201635
6057.03,144524
5985.02,133941
5933.14,140685
5913.36,139962
5850.17,180841
5800.24,153519
5606,182778
5537.39,245728
5457.77,236213
5428.11,157729
5492.87,135413
5745.33,172618
5799.91,143661
6088.84,141354
6035.88,153039
6080.68,205318
6106.09,201034
6028.82,156070
5994.73,143842
5874.44,183750
5986.71,190768
5785.43,153575
5774.26,191200
5675.14,202903
5730.62,183781
5701.78,301486
5670.71,102011
5847.03,129734
5791.53,145367
5852.18,88638
5878.93,54220
5878.93,44734
5889.76,35248
5771.27,72297
5848.78,59709
5898.35,42363
6075.52,90828
6166.57,116709
6111.55,100870
