price,volume
1343.8,604566
1319.49,634678
1313.64,727709
1317.72,665194
1308.87,720241
1316.14,884873
1305.44,678947
1326.73,696044
1325.84,644010
1343.8,829496
1345.02,585559
1337.43,576860
1331.94,652053
1304.89,852723
1300.67,748423
1292.28,951840
1286.94,851983
1254.04,960305
1260.34,1017929
1200.07,1354440
1199.38,1724038
1119.46,1938224
1172.53,1861439
1120.76,1717760
1172.64,1528892
1178.81,1000795
1204.49,855621
1192.76,871874
1193.89,784412
1140.65,1304288
1123.53,1274017
1123.82,911682
1162.35,962340
1177.6,876215
1159.27,944172
1176.8,917776
1210.08,686404
1212.92,794771
1218.89,963811
1204.42,742114
1173.97,723929
1173.97,792394.5
1165.24,860860
1198.62,771110
1185.9,782308
1154.23,993603
1162.27,857714
1172.87,832337
1188.68,887359
1209.11,802306
1216.01,1568106
1204.09,738602
1202.09,720960
1166.76,967540
1129.56,1347290
1136.43,951820
1162.95,918023
1175.38,900240
1151.06,789870
1160.4,883318
1131.42,986533
1099.23,1064637
1123.95,1234751
1144.03,973757
1164.97,851180
1155.46,881987
1194.89,654900
1195.54,650495
1207.25,805996
1203.66,678085
1224.58,627784
1200.86,679194
1225.38,853336
1209.88,776277
1215.39,768757
1238.25,1039907
1254.19,700005
1229.05,774021
1242,892603
1284.59,1060954
1285.09,773623
1253.3,860463
1218.28,1000384
1237.9,751246
1261.15,794731
1253.23,650297
1261.12,599517
1275.92,658714
1229.1,851197
1239.69,686103
1263.85,576721
1251.78,533463
1257.81,624302
1236.91,753541
1216.13,822872
1215.65,788180
1192.98,735399
1188.04,674946
1161.79,689777
1161.79,512866.5
1158.67,335956
1192.55,739215
1195.19,647616
1246.96,1172115
1244.58,616267
1244.28,664845
1257.08,681306
1258.47,595394
1261.01,717576
1234.35,710781
1255.19,607239
1236.47,610944
1225.73,735543
1211.82,698587
1215.75,648747
1219.66,1403591
1205.35,569817
1241.3,741105
1243.72,715569
1254,615073
1265.33,352910
1265.33,349999
1265.43,347088
1249.64,388379
1263.02,375206
1257.6,422083
1257.6,542399
1277.06,662715
1277.3,613302
1281.06,661073
1277.81,586007
1280.7,582309
1292.08,653259
1292.48,568741
1295.5,580177
1289.09,656666
1289.09,649317.5
1293.67,641969
1308.04,675850
1314.5,663577
1315.38,878320
1316,583433
1314.65,584740
1326.05,686713
1318.43,701746
1316.33,676624
1313.01,577400
1312.41,797230
1324.09,672663
1325.54,584223
1344.9,665334
1344.33,531777
1347.05,535133
1349.96,595613
1351.95,607917
1342.64,563291
1351.77,509390
1350.5,575332
1343.23,620012
1358.04,613533
1361.23,847908
1361.23,734945.5
1362.21,621983
1357.66,564038
1363.46,568546
1365.74,472036
1367.59,572529
1372.18,586648
1365.68,839339
1374.09,617111
1369.63,471320
1364.33,529724
1343.36,658266
1352.63,618036
1365.91,531454
1370.87,517234
1371.09,473774
1395.95,672518
1394.28,678427
1402.6,662602
1404.17,1343126
1409.75,545546
1405.52,543643
1402.89,569390
1392.78,568355
1397.11,570172
1416.51,556882
1412.52,554126
1405.54,632734
1403.28,620549
1408.47,744671
1419.04,578591
1413.38,638204
1398.96,624983
1398.08,538038
1398.08,534111
1382.2,530184
1358.59,722583
1368.71,585197
1387.57,539962
1370.26,620009
1369.57,587617
1390.78,550794
1385.14,552800
1376.92,661352
1378.53,869052
1366.94,625934
1371.97,607308
1390.69,632292
1399.98,587283
1403.36,574422
1397.91,607527
1405.82,565454
1402.3,546297
1391.57,581533
1369.1,585374
1369.58,576964
1363.72,675233
1354.58,711609
1357.99,647812
1353.39,611356
1338.35,618913
1330.66,655384
1324.8,665461
1304.86,680754
1295.22,975332
1315.99,622745
1316.63,622407
1318.86,693140
1320.68,614732
1317.82,449802
1317.82,500376.5
1332.42,550951
1313.32,579641
1310.33,940925
1278.04,782220
1278.18,635946
1285.5,558438
1315.13,652861
1314.99,649344
1325.66,527231
1308.93,566392
1324.18,573850
1314.88,553876
1329.1,608023
1342.84,1141818
1344.78,540693
1357.98,586629
1355.69,573023
1325.51,677891
1335.02,929041
1313.72,596638
1319.98,550335
1331.85,499592
1329.04,692430
1362.16,852335
1365.51,544915
1374.02,333805
1374.02,412560.5
1367.58,491316
1354.68,473892
1352.46,488550
1341.47,557227
1341.45,593546
1334.76,597864
1356.78,522326
1353.64,460442
1363.67,554444
1372.78,573272
1376.51,631244
1362.66,851766
1350.52,591487
1338.31,616405
1337.89,643149
1360.02,705312
1385.97,740576
