price,volume
874.34,1784770
870.16,1515880
857.19,1830720
860.53,1751940
856.88,1767860
859.36,1472910
859.36,1486185
853.75,1499460
860.66,1539020
860.11,1797000
868.81,1775700
861.91,1414010
866.2,1641130
859.11,1702160
848.37,1795260
841.37,1947720
851.7,1921230
843.96,1633850
826.75,1819300
826.36,1997980
800.96,2514580
782.86,2041580
770.39,3319230
776.73,2258910
770.88,2237430
768.19,2029260
777.12,1495220
779.06,1673750
776.65,1610880
767.31,1739370
751.69,2047040
742.84,1966060
750.39,2090520
742.24,2180940
751.82,2058180
756.07,1893330
758.83,1954690
767.3,1832350
770.6,1857950
778.28,1705070
769.78,1714520
755.82,1595080
741.2,2101320
753.63,1759710
757.41,1462680
755.7,2208960
741.26,1693910
749.82,1689520
741.69,1776400
751.76,1686100
768.13,1926440
768.13,1671325
755.04,1416210
757.13,1442010
744.54,1704070
744.54,1915895
728.85,2127720
748.55,1883900
754.07,1859530
762.3,2158820
761.17,2013170
747.11,1922190
736.18,2069240
726.25,2067740
736.86,1628110
741.55,1618300
741.55,1592370
755,1566440
753.44,1524530
758.83,1578510
748.81,1561720
761.88,1453140
751.24,1169710
751.49,1298700
746.02,1457870
744.21,1319690
755.44,1339380
747.7,1438680
746.48,1460960
762.79,1805330
771.43,2163800
764.06,1779120
754.5,1466780
738.58,1767200
738.58,1719300
752.02,1671400
750.45,1450170
738.03,1845980
749.4,1800420
730.3,1963480
729.13,1663910
735.85,1414340
730.91,1227960
724.11,1345730
727.71,1520930
719.98,1450750
717.08,1226460
717.79,1510850
717.79,1503380
706.08,1495910
706.6,1503950
715.7,1362350
729.68,1569070
728.46,1762430
740.01,2000190
744.14,1567300
748.61,1430750
738.01,1594210
749.63,1811220
745.11,1737810
738.12,2570420
746.69,1505500
740.71,1651400
736.98,1517250
725.02,1544230
723.56,1479150
716.38,1435350
718.49,1169460
725.68,1252030
723.12,1180670
723.12,1042435
726.44,904200
724.25,807170
721.45,1007410
722.12,972900
728.61,838670
728.61,419335
728.61,931402.5
742.99,1443470
736.28,1255420
729.6,1540530
729.6,1601315
731.93,1662100
733.47,1657370
727.15,1388290
734.6,1692790
725.24,1345340
731.53,1762420
734.98,2356680
740.68,2131680
755.47,2598710
756.79,2013300
757.4,1839420
767.4,2199610
764.61,1956390
761.13,1937880
757.01,1646150
755.27,2067760
757.96,2150140
762.45,2251870
